userName,content,score,at
Pengguna Google,bagus cuma agak lelet,4,2025-05-21 09:36:49
Pengguna Google,bagus mantaf,5,2025-05-21 09:24:05
Pengguna Google,"sampe kapan gangguan sistim terus, mau daftar masukin password gak bisa",3,2025-05-21 09:14:49
Pengguna Google,Transaksi cepat dan mudah berkat aplikasi ini. Terima kasih Wondr.,5,2025-05-21 09:06:12
Pengguna Google,wonder lebih bagus dari BNI mobile,5,2025-05-21 09:01:32
Pengguna Google,"ko punya ku GK bisa dibuka buka ya apk nya,kenapa ya pdhal kmren² aman aja",4,2025-05-21 08:58:57
Pengguna Google,Mantabbb n Keren.. saldo akhir langsung terpantau.. tanpa harus keluar dulu dr apl mbanknya,5,2025-05-21 08:47:57
Pengguna Google,Best,5,2025-05-21 08:43:53
Pengguna Google,lemot kadang nggak bisa masuk,3,2025-05-21 08:36:52
Pengguna Google,Oke,5,2025-05-21 08:36:21
Pengguna Google,ini janagat membantu,5,2025-05-21 08:25:31
Pengguna Google,mantap,5,2025-05-21 08:22:38
Pengguna Google,Saya baru download trs sistem nya eror trs ini saya mau kirim GK bisa gimana solusinya dan saya mau kirim ke shopee knp eror,1,2025-05-21 08:01:46
Pengguna Google,mantap,5,2025-05-21 07:59:22
Pengguna Google,solusinya gimana ya bayar pake Q RIS malah gagal tiba tiba ke potong 2 kali pembayaran sampe sekarang balom ada pengembalian dana,2,2025-05-21 07:38:16
Pengguna Google,"wondr by BNI, Te O Pe bingiiiit !!",5,2025-05-21 07:32:59
Pengguna Google,baik,5,2025-05-21 07:30:24
Pengguna Google,lebih mudah dan praktis dalam segala transaksi,4,2025-05-21 06:17:38
Pengguna Google,mantap,5,2025-05-21 06:07:09
Pengguna Google,goodjob,5,2025-05-21 06:03:33
Pengguna Google,sangat membantu,5,2025-05-21 06:02:00
Pengguna Google,siiip,4,2025-05-21 06:00:49
Pengguna Google,Pertahankan kualitas layanan nasabah,5,2025-05-21 05:04:25
Pengguna Google,keren,5,2025-05-21 05:02:57
Pengguna Google,belajar utk menjadi lebih baik,4,2025-05-21 04:56:31
Pengguna Google,sangat membantu,5,2025-05-21 04:54:32
Pengguna Google,mantap,5,2025-05-21 04:19:16
Pengguna Google,simpel,5,2025-05-21 02:51:46
Pengguna Google,masih 4 ya,4,2025-05-21 01:04:28
Pengguna Google,"aplikasinya susah dibuka, harus dengan sinyal yg kuat baru bisa dibuka, kalo ndk kuat sinyal hanya putar2 aja itu, mw dak mw harus balik ke app lama.",4,2025-05-21 00:21:36
Pengguna Google,"Tiap sabtu mlm mau tarik tunai tanpa kartu tidak bisa.Dimesin atm keterangan gagal,di sms ada keterangan berhasil tarik pulsa pun berkurang.",1,2025-05-20 23:51:41
Pengguna Google,keren dan bagus,4,2025-05-20 23:44:11
